,0
0,1
1,20
2,27
3,11
4,4
5,2
6,22
7,23
8,33
9,40
10,11
11,16
12,27
13,21
14,28
15,63
16,14
17,10
18,73
19,65
20,76
21,126
22,58
23,79
24,78
25,55
26,33
27,30
28,35
29,57
30,39
31,67
32,13
33,33
34,24
35,8
36,1
37,22
38,63
39,63
40,29
41,20
42,7
43,11
44,27
45,28
46,31
47,37
48,7
49,15
50,25
51,70
52,77
53,108
54,72
55,69
56,80
57,98
58,32
59,9
60,30
61,68
62,57
63,45
64,25
65,47
66,38
67,17
68,14
69,34
70,66
71,70
72,32
73,22
74,14
75,19
76,21
77,25
78,16
79,2
80,20
81,42
82,18
83,42
84,72
85,63
86,72
87,35
88,74
89,132
90,60
91,14
92,50
93,67
94,53
95,35
96,31
97,48
98,44
99,33
100,35
101,23
102,36
103,25
104,15
105,29
106,26
107,23
108,16
109,18
110,22
111,15
112,23
113,0
114,1
115,4
116,58
117,51
118,69
119,22
120,68
121,124
122,57
123,32
124,69
125,36
126,34
127,58
128,41
129,45
130,36
131,56
132,49
133,29
134,28
135,17
136,20
137,55
138,79
139,89
140,68
141,35
142,53
143,50
144,19
145,14
146,3
147,1
148,2
149,15
150,45
151,36
152,39
153,40
154,25
155,29
156,24
157,9
158,41
159,75
160,38
161,37
162,42
163,45
164,51
165,40
166,32
167,94
168,119
169,131
170,172
171,188
172,181
173,106
174,54
175,77
176,69
177,68
178,34
179,23
180,33
181,54
182,53
183,40
184,48
185,35
186,21
187,43
188,31
189,28
190,55
191,76
192,52
193,27
194,52
195,41
196,54
197,70
198,48
199,109
200,199
201,186
202,190
203,181
204,204
205,159
206,56
207,75
208,83
209,71
210,63
211,60
212,90
213,126
214,90
215,53
216,28
217,50
218,23
219,31
220,40
221,22
222,34
223,59
224,56
225,38
226,53
227,49
228,64
229,78
230,58
231,56
232,137
233,168
234,131
235,62
236,84
237,86
238,58
239,61
240,57
241,44
242,76
243,123
244,94
245,116
246,109
247,65
248,40
249,76
250,36
251,27
252,56
253,25
254,19
255,34
256,29
257,62
258,77
259,71
260,61
261,41
262,46
263,42
264,67
265,82
266,58
267,45
268,46
269,53
270,69
271,59
272,55
273,40
274,90
275,143
276,87
277,68
278,96
279,113
280,75
281,57
282,47
283,21
284,31
285,25
286,16
287,17
288,54
289,43
290,43
291,55
292,39
293,34
294,39
295,67
296,79
297,88
298,74
299,58
300,51
301,79
302,111
303,57
304,43
305,51
306,101
307,136
308,106
309,67
310,77
311,103
312,66
313,24
314,22
315,28
316,19
317,15
318,25
319,28
320,47
321,43
322,54
323,37
324,22
325,36
326,48
327,99
328,94
329,88
330,83
331,68
332,48
333,68
334,90
335,74
336,73
337,72
338,94
339,144
340,93
341,58
342,60
343,64
344,27
345,30
346,31
347,30
348,24
349,23
350,24
351,25
352,16
353,23
354,32
355,32
356,36
357,38
358,48
359,98
360,102
361,77
362,78
363,70
364,46
365,48
366,61
367,66
368,60
369,62
370,69
371,62
372,70
373,68
374,64
375,104
376,52
377,47
378,39
379,38
380,44
381,44
382,36
383,27
384,60
385,40
386,21
387,33
388,30
389,41
390,43
391,71
392,80
393,63
394,52
395,51
396,47
397,61
398,55
399,56
400,54
401,55
402,56
403,57
404,66
405,57
406,83
407,88
408,82
409,57
410,96
411,99
412,67
413,61
414,77
415,53
416,80
417,54
418,25
419,47
420,47
421,45
422,62
423,74
424,93
425,66
426,53
427,54
428,60
429,58
430,67
431,67
432,53
433,63
434,66
435,68
436,66
437,92
438,107
439,59
440,52
441,45
442,94
443,80
444,67
445,72
446,79
447,98
448,99
449,125
450,52
451,24
452,38
453,33
454,137
455,150
456,56
457,69
458,59
459,65
460,98
461,106
462,93
463,71
464,64
465,67
466,79
467,78
468,88
469,94
470,40
471,81
472,95
473,39
474,38
475,42
476,65
477,73
478,48
479,69
480,123
481,109
482,72
483,27
484,32
485,29
486,116
487,92
488,84
489,81
490,74
491,86
492,81
493,82
494,79
495,76
496,90
497,79
498,68
499,82
500,77
501,100
502,13
503,82
504,147
505,61
506,39
507,38
508,36
509,59
510,46
511,48
512,57
513,54
514,57
515,43
516,57
517,70
518,85
519,72
520,92
521,90
522,81
523,85
524,90
525,98
526,118
527,97
528,94
529,103
530,115
531,65
532,98
533,102
534,103
535,136
536,105
537,24
538,34
539,28
540,33
541,55
542,55
543,39
544,54
545,57
546,68
547,69
548,62
549,89
550,89
551,74
552,89
553,73
554,56
555,92
556,101
557,93
558,157
559,118
560,131
561,132
562,142
563,75
564,93
565,156
566,195
567,88
568,20
569,45
570,53
571,59
572,64
573,62
574,55
575,48
576,73
577,68
578,56
579,54
580,98
581,66
582,76
583,99
584,128
585,65
586,119
587,90
588,115
589,94
590,143
591,70
592,45
593,100
594,218
595,149
596,153
597,157
598,48
599,0
600,11
601,83
602,72
603,60
604,57
605,51
606,59
607,60
608,62
609,50
610,52
611,45
612,68
613,61
614,122
615,76
616,144
617,137
618,158
619,134
620,179
621,79
622,52
623,81
624,104
625,84
626,116
627,161
628,126
629,31
630,0
631,0
632,26
633,81
634,49
635,58
636,59
637,38
638,62
639,113
640,40
641,36
642,39
643,70
644,117
645,109
646,83
647,110
648,188
649,138
650,108
651,167
652,63
653,102
654,90
655,103
656,87
657,87
658,146
659,96
660,96
661,0
662,0
663,9
664,29
665,57
666,42
667,56
668,66
669,55
670,67
671,137
672,41
673,41
674,45
675,66
676,161
677,136
678,136
679,202
680,175
681,97
682,70
683,67
684,70
685,140
686,80
687,86
688,92
689,125
690,116
691,84
692,21
693,24
694,28
695,71
696,64
697,46
698,92
699,89
700,49
701,50
702,56
703,47
704,53
705,44
706,64
707,59
708,106
709,96
710,187
711,153
712,84
713,110
714,97
715,94
716,75
717,90
718,70
719,96
720,145
721,134
722,131
723,137
724,71
